feature,importance
is_missing_AL_209,0.00020777437224614006
AL_71,0.00020161698327751868
is_missing_AL_268,0.00020146654670889032
is_missing_AL_210,0.0002003362966584599
is_missing_AL_218,0.00019588838718510968
is_missing_AL_223,0.0001911816049656666
is_missing_AL_192,0.00019113017114780174
is_missing_AL_239,0.0001866485080000081
is_missing_AL_201,0.00018433232164967513
is_missing_AL_242,0.00018303494831635505
is_missing_AL_293,0.00018185909770041146
is_missing_AL_202,0.00018057354320392315
is_missing_AL_279,0.00017765026244711263
is_missing_AL_189,0.0001764048984484991
is_missing_AL_187,0.00017562243314330031
is_missing_AL_254,0.00017416915860482763
is_missing_AL_237,0.00017312128286806904
is_missing_AL_221,0.00017280147700529492
is_missing_AL_235,0.00016552833424177864
is_missing_AL_222,0.00016487569812458417
is_missing_AL_262,0.00016207216711481765
is_missing_AL_203,0.00016182768442727253
is_missing_AL_205,0.00016132675889089494
is_missing_AL_246,0.0001582356277047913
is_missing_AL_274,0.0001531602523944761
is_missing_AL_193,0.0001530310395669786
is_missing_AL_294,0.00015293078987805837
is_missing_AL_285,0.0001515042723864739
is_missing_AL_224,0.00014727111191305096
is_missing_AL_281,0.00014655789121783788
is_missing_AL_290,0.00014617511176240222
is_missing_AL_247,0.0001413666832136471
is_missing_AL_283,0.0001407949780529969
is_missing_AL_200,0.0001396160540521393
is_missing_AL_219,0.00013885196380936088
is_missing_AL_234,0.00013672265784021344
is_missing_AL_198,0.00013664032528498403
is_missing_AL_230,0.00013654751412036623
AL_328,0.00013540209179006775
is_missing_AL_278,0.00013363638170087858
is_missing_AL_199,0.00013331180767786973
is_missing_AL_188,0.0001329702508635554
is_missing_AL_228,0.0001326031931875027
is_missing_AL_232,0.0001314696162344644
is_missing_AL_249,0.00012713566321208975
AL_65,0.00012339637460157202
is_missing_AL_271,0.00012194166346944307
is_missing_AL_194,0.00012106032366585488
is_missing_AL_259,0.0001190730204562375
is_missing_AL_229,0.00011765875740465349
is_missing_AL_190,0.00011539142944378298
AL_89,0.00011530433063392583
is_missing_AL_275,0.00011377675082638395
is_missing_AL_225,0.0001124475429466647
is_missing_AL_245,0.00010881240215737407
is_missing_AL_261,0.00010680142438190181
is_missing_AL_266,9.782488773858588e-05
AL_56,9.676534872306755e-05
AL_31,9.418706081059949e-05
is_missing_AL_258,9.359726015586146e-05
is_missing_AL_196,9.330288369224389e-05
is_missing_AL_255,9.102543961051287e-05
is_missing_AL_264,9.05172465598499e-05
AL_59,8.256318382557656e-05
AL_35,7.603062372716624e-05
AL_27,7.406069380327807e-05
AL_37,7.156531258244625e-05
AL_74,4.836011336345711e-05
CAT_6,4.4064206258399795e-05
AL_29,3.740992079341434e-05
AL_95,1.4639365313628987e-05
AL_47,1.4290604886433323e-05
AL_62,7.211903426884386e-06
AL_41,5.356083269324863e-06
AL_44,1.6023125376810576e-21
AL_216,0.0
AL_200,0.0
AL_252,0.0
AL_288,0.0
