scenario,panel,model,thr_mode,threshold,best_combo,train_f1,train_precision,train_recall,train_mcc,test_f1_5050,test_precision_5050,test_recall_5050,test_mcc_5050,test_f1_8020_mean,test_f1_8020_std,test_f1_8020_lo,test_f1_8020_hi,n_test
S4,CFTR,dnn,f1_raw,0.21,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.9361702127659575,0.8979591836734694,0.9777777777777777,0.5910967041703311,0.9032258064516129,0.875,0.9333333333333333,0.4403855060505442,0.4634545454545455,0.07491019416663292,0.23681818181818184,0.5,56
S4,CFTR,dnn,f1_8020,0.38,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8780487804878049,0.972972972972973,0.8,0.5753964555687505,0.7792207792207793,0.9375,0.6666666666666666,0.3892494720807615,0.5264285714285715,0.19865320344282203,0.0,0.75,56
S4,CFTR,dnn,mcc_8020,0.38,"{'hidden': 128, 'n_layers': 2, 'dropout': 0.4, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.8780487804878049,0.972972972972973,0.8,0.5753964555687505,0.7792207792207793,0.9375,0.6666666666666666,0.3892494720807615,0.5264285714285715,0.19865320344282203,0.0,0.75,56
S1,KANSER,lightgbm,f1_raw,0.37,,0.9866131191432396,1.0,0.9735799207397622,0.9726050751503088,0.9111111111111111,0.8978102189781022,0.924812030075188,0.705222164595381,0.6507227202746205,0.02443469127807351,0.6190476190476191,0.6818181818181818,193
S1,KANSER,lightgbm,f1_8020,0.37,,0.9866131191432396,1.0,0.9735799207397622,0.9726050751503088,0.9111111111111111,0.8978102189781022,0.924812030075188,0.705222164595381,0.6507227202746205,0.02443469127807351,0.6190476190476191,0.6818181818181818,193
S1,KANSER,lightgbm,mcc_8020,0.37,,0.9866131191432396,1.0,0.9735799207397622,0.9726050751503088,0.9111111111111111,0.8978102189781022,0.924812030075188,0.705222164595381,0.6507227202746205,0.02443469127807351,0.6190476190476191,0.6818181818181818,193
S1,KANSER,catboost,f1_raw,0.47,,0.9560655737704918,0.94921875,0.9630118890356671,0.9068763008400814,0.9264705882352942,0.9064748201438849,0.9473684210526315,0.7534202967766832,0.677645679712611,0.021773506089265357,0.6341463414634146,0.6976744186046512,193
S1,KANSER,catboost,f1_8020,0.72,,0.9279778393351801,0.975254730713246,0.8850726552179656,0.8601390319666822,0.8477366255144033,0.9363636363636364,0.7744360902255639,0.6149499043934745,0.6819714609169886,0.07227582796260446,0.5333333333333333,0.7777777777777778,193
S1,KANSER,catboost,mcc_8020,0.72,,0.9279778393351801,0.975254730713246,0.8850726552179656,0.8601390319666822,0.8477366255144033,0.9363636363636364,0.7744360902255639,0.6149499043934745,0.6819714609169886,0.07227582796260446,0.5333333333333333,0.7777777777777778,193
S1,KANSER,nn,f1_raw,0.41,"{'hidden': 128, 'dropout': 0.3, 'weight_decay': 0.001, 'lr': 0.001, 'focal_gamma': 2.0}",0.888030888030888,0.8657465495608532,0.9114927344782034,0.7585723284280025,0.8702290076335878,0.8837209302325582,0.8571428571428571,0.5969081292661821,0.591646392933971,0.041951808569799305,0.5082317073170732,0.6363636363636364,193
