k,feature,feature_group,xgb_gain,xgb_cover,xgb_weight,lgbm_importance,nn_permutation_importance,consensus_avg_rank
2,DNA_11mer_Alt__2mer_TC,DNA k-mer,0.002519,0.008226,0.001669,0.001217,0.0,223.33
3,Prot_11mer_Ref__3mer_QPK,Protein k-mer,0.0,0.0,0.0,0.0,0.0,223.33
3,Prot_11mer_Ref__3mer_QNF,Protein k-mer,0.0,0.0,0.0,0.0,0.0,226.67
2,Prot_11mer_Ref__2mer_RK,Protein k-mer,0.0,0.0,0.0,0.000152,0.0,228.67
2,DNA_11mer_Alt__2mer_AG,DNA k-mer,0.000355,0.006343,0.001669,0.001369,0.0,233.33
2,Prot_11mer_Ref__2mer_SR,Protein k-mer,0.0,0.0,0.0,0.000152,0.0,234.0
2,Prot_11mer_Ref__2mer_SP,Protein k-mer,0.0,0.0,0.0,0.000152,0.0,235.33
3,Prot_11mer_Ref__3mer_QPM,Protein k-mer,0.0,0.0,0.0,0.0,0.0,235.67
2,DNA_11mer_Alt__2mer_CA,DNA k-mer,0.006352,0.004882,0.001669,0.000304,0.0,237.33
2,gnomad4__af,Numeric score,0.014909,0.011621,0.116861,0.054626,0.0,237.67
2,Prot_11mer_Ref__2mer_CV,Protein k-mer,0.002136,0.032471,0.001669,0.000761,0.0,237.67
2,Prot_11mer_Ref__2mer_SL,Protein k-mer,0.0,0.0,0.0,0.000152,0.0,237.67
3,Prot_11mer_Ref__3mer_QPL,Protein k-mer,0.0,0.0,0.0,0.0,0.0,238.33
3,Prot_11mer_Ref__3mer_QPI,Protein k-mer,0.0,0.0,0.0,0.0,0.0,241.0
3,Prot_11mer_Ref__3mer_QPN,Protein k-mer,0.0,0.0,0.0,0.0,0.0,242.0
2,Prot_11mer_Ref__2mer_SG,Protein k-mer,0.000503,0.017859,0.001669,0.0,0.00148,243.33
2,Prot_11mer_Ref__2mer_RS,Protein k-mer,0.0,0.0,0.0,0.000152,0.0,244.33
3,Prot_11mer_Ref__3mer_QPG,Protein k-mer,0.0,0.0,0.0,0.0,0.0,244.33
3,Prot_11mer_Ref__3mer_QPE,Protein k-mer,0.0,0.0,0.0,0.0,0.0,245.67
3,Prot_11mer_Ref__3mer_QPP,Protein k-mer,0.0,0.0,0.0,0.0,0.0,245.67
2,ref_amino__G,OHE (base/AA),0.0,0.0,0.0,0.001369,0.0,246.0
3,Prot_11mer_Ref__3mer_QPQ,Protein k-mer,0.0,0.0,0.0,0.0,0.0,248.67
3,Prot_11mer_Ref__3mer_QHT,Protein k-mer,0.0,0.0,0.0,0.0,0.026448,250.0
2,Prot_11mer_Ref__2mer_MT,Protein k-mer,0.0,0.0,0.0,0.000152,0.0,250.67
2,delta_volume,Numeric score,0.003437,0.00795,0.010017,0.008977,0.0,251.33
3,Prot_11mer_Ref__3mer_QVN,Protein k-mer,0.0,0.0,0.0,0.0,0.0,251.33
