config_id,model_type,fe_state,mode,panel,best_threshold,f1_default,best_cv_f1,n_train,n_test,n_features,f1,auc_roc,auc_pr,mcc,precision,recall,specificity,balanced_accuracy,cohens_kappa,time_seconds
nn_clean_multi_panel,nn,clean,multi_panel,All,0.4999999999999998,0.5566137566137566,0.5513342435930934,3429,858,1056,0.5566137566137566,0.6995612938706128,0.5161914488683016,0.29499354536261035,0.3919523099850969,0.9598540145985401,0.3013698630136986,0.6306119388061193,0.18866987736457974,479.6699492931366
nn_clean_single_General,nn,clean,single_panel,General,0.17999999999999997,0.519916142557652,0.5310056639010955,2524,632,1052,0.5287713841368584,0.6643431320776858,0.4603961734151038,0.23958397481921356,0.3794642857142857,0.8717948717948718,0.36384439359267734,0.6178196326937746,0.17336050005180104,468.8299524784088
nn_clean_single_Hereditary_Cancer,nn,clean,single_panel,Hereditary_Cancer,0.47999999999999976,0.5333333333333333,0.534061458718993,572,143,1052,0.5420560747663551,0.7201676528599605,0.48550243399846793,0.3287056215231419,0.4264705882352941,0.7435897435897436,0.625,0.6842948717948718,0.29908972691807545,120.32172632217407
nn_clean_single_PAH,nn,clean,single_panel,PAH,0.5299999999999998,0.53125,0.5449524700015584,259,65,1052,0.5384615384615384,0.6493506493506493,0.4619020154382421,0.26244812417468893,0.45161290322580644,0.6666666666666666,0.6136363636363636,0.6401515151515151,0.24927815206929738,53.66299605369568
nn_clean_fe_multi_panel,nn,clean_fe,multi_panel,All,0.4999999999999998,0.5627118644067797,0.5552789107432713,3429,858,1499,0.5627118644067797,0.7118756874312568,0.5264002501284836,0.29747763347701284,0.4075286415711948,0.9087591240875912,0.3801369863013699,0.6444480551944806,0.21779873828627427,666.5779345035553
nn_clean_fe_single_General,nn,clean_fe,single_panel,General,0.4999999999999998,0.5398373983739837,0.5290454514553561,2524,632,1495,0.5398373983739837,0.6596021827143109,0.4283550675926915,0.2641823295931597,0.3952380952380952,0.8512820512820513,0.41876430205949655,0.6350231766707739,0.20466026325151188,355.41196060180664
nn_clean_fe_single_Hereditary_Cancer,nn,clean_fe,single_panel,Hereditary_Cancer,0.5799999999999997,0.543859649122807,0.5784199574706795,572,143,1495,0.5742574257425742,0.7147435897435898,0.4543969768623058,0.3830960427754071,0.46774193548387094,0.7435897435897436,0.6826923076923077,0.7131410256410257,0.3599458728010826,143.68998408317566
nn_clean_fe_single_PAH,nn,clean_fe,single_panel,PAH,0.34999999999999987,0.4482758620689655,0.5346909688731559,259,65,1495,0.5316455696202531,0.579004329004329,0.4601251070163863,0.24000391846330957,0.3620689655172414,1.0,0.1590909090909091,0.5795454545454546,0.1089292330492776,50.04799509048462
dnn_no_fe_multi_panel,dnn,no_fe,multi_panel,All,0.5299999999999998,0.6112412177985949,0.6254624790231028,3429,858,534,0.6142857142857143,0.7202654734526547,0.476075415926006,0.4075690090392078,0.4558303886925795,0.9416058394160584,0.4726027397260274,0.7071042895710429,0.32288236325727315,1191.3883264064789
dnn_no_fe_single_General,dnn,no_fe,single_panel,General,0.4999999999999998,0.6107226107226107,0.6067949871338786,2524,632,530,0.6107226107226107,0.7729507715777738,0.5734049351906106,0.4171493681333684,0.5598290598290598,0.6717948717948717,0.7643020594965675,0.7180484656457196,0.4132141348099717,1019.3119163513184
