experiment,exp_group,pool,model,boot_f1,boot_std,boot_lo,boot_hi,auprc,precision,recall,mcc,fp,fn,thr,train_f1,overfit_gap
E3_stack_lr,E3,-,E3_stack_lr,0.6491094550466631,0.09856189127126246,0.48,0.8125,0.9573701629395915,0.9534883720930233,0.6165413533834586,0.5120637811285133,4,51,0.77,0.7747747747747747,0.12566531972811168
E0_P1_BALANCED_625_dnn_ft,E0,P1_BALANCED_625,dnn_ft,0.6468297418337005,0.07678218929800645,0.4941379310344828,0.7699206349206349,0.9338801444149025,0.9292929292929293,0.6917293233082706,0.5325189756396714,7,41,0.48,0.7965367965367965,0.1497070547030961
E1_P2_KANSER_BAL625_catboost,E1,P2_KANSER_BAL625,catboost,0.644661349359242,0.06704820183539313,0.5,0.7368421052631579,0.9549929621283073,0.9210526315789473,0.7894736842105263,0.6019468572347108,9,28,0.66,0.7401924500370096,0.0955311006777676
E1_P9_REVERSE_6040_nn_ft,E1,P9_REVERSE_6040,nn_ft,0.640036102464716,0.07942392179037247,0.44076354679802954,0.7699206349206349,0.9128548885717963,0.9263157894736842,0.6616541353383458,0.5045603526204043,7,45,0.52,0.7522935779816514,0.11225747551693543
E1_P2_KANSER_BAL625_dnn,E1,P2_KANSER_BAL625,dnn,0.6399468483845892,0.0513002037443435,0.5405405405405406,0.7142857142857143,0.9401238031660035,0.9032258064516129,0.8421052631578947,0.6201150725321198,12,21,0.44,0.7266576454668471,0.08671079708225793
E1_P2_KANSER_BAL625_lgbm,E1,P2_KANSER_BAL625,lgbm,0.6386723752911173,0.05509593867705764,0.5142857142857142,0.7317073170731707,0.9489592015182541,0.9090909090909091,0.8270676691729323,0.61609713138381,11,23,0.73,0.7496443812233285,0.11097200593221124
E1_P8_COMBINED_BAL_nn_ft,E1,P8_COMBINED_BAL,nn_ft,0.6368865582487875,0.0634952743354941,0.5294117647058824,0.7427884615384615,0.9194985787914831,0.9107142857142857,0.7669172932330827,0.5629664929496137,10,31,0.47,0.8629032258064516,0.22601666755766414
E1_P8_COMBINED_BAL_dnn,E1,P8_COMBINED_BAL,dnn,0.6362313447565859,0.03705045858575883,0.5853658536585366,0.6818181818181818,0.9070327164673315,0.8939393939393939,0.8872180451127819,0.6509546684567511,14,15,0.44,0.7170224411603722,0.08079109640378623
E1_P0_KANSER_ONLY_lgbm,E1,P0_KANSER_ONLY,lgbm,0.6347061637309317,0.06347523714523728,0.5294117647058824,0.717948717948718,0.9134902250032028,0.9122807017543859,0.7819548872180451,0.5791806915583833,10,29,0.94,0.8200836820083682,0.18537751827743654
E1_P7_MASTER_UNDER_K_lgbm,E1,P7_MASTER_UNDER_K,lgbm,0.6291228860694805,0.0592959633964433,0.5294117647058824,0.717948717948718,0.9395308727893295,0.9107142857142857,0.7669172932330827,0.5629664929496137,10,31,0.94,0.76410998552822,0.13498709945873943
E0_P3_COMBINED_RAW_dnn_ft,E0,P3_COMBINED_RAW,dnn_ft,0.6212538007613388,0.04532840355305772,0.5263157894736842,0.6976744186046512,0.9266287257964978,0.8951612903225806,0.8345864661654135,0.5967578888867843,13,22,0.36,0.875968992248062,0.25471519148672317
E1_P4_COMBINED_KANSER_dnn,E1,P4_COMBINED_KANSER,dnn,0.6211166368586137,0.05323267189274145,0.5091216216216217,0.7072299651567944,0.9422478943985019,0.8991596638655462,0.8045112781954887,0.575461817329412,12,26,0.36,0.8099725166862976,0.18885587982768381
E0_P3_COMBINED_RAW_nn_ft,E0,P3_COMBINED_RAW,nn_ft,0.6175881540968564,0.04941126099961354,0.5263157894736842,0.6976744186046512,0.9043472764140597,0.8951612903225806,0.8345864661654135,0.5967578888867843,13,22,0.36,0.842911877394636,0.2253237232977796
E1_P5_FINAL_8020_nn_ft,E1,P5_FINAL_8020,nn_ft,0.616166902680807,0.10281399995793486,0.4,0.7793560606060606,0.9407658243936574,0.9404761904761905,0.5939849624060151,0.47673087051277324,5,54,0.52,0.7911111111111111,0.17494420843030412
E1_P9_REVERSE_6040_dnn_ft,E1,P9_REVERSE_6040,dnn_ft,0.6091051188973988,0.05341210976823427,0.4864864864864865,0.6906976744186046,0.9183685620629015,0.8925619834710744,0.8120300751879699,0.5698028949200858,13,25,0.48,0.8774703557312253,0.2683652368338265
E1_P1_BALANCED_625_dnn_ft,E1,P1_BALANCED_625,dnn_ft,0.6079829812123181,0.10776614099183056,0.4,0.75,0.9489473700541957,0.9397590361445783,0.5864661654135338,0.47037985638022484,5,55,0.52,0.7614678899082569,0.15348490869593878
E1_P6_MASTER_UNDER_catboost,E1,P6_MASTER_UNDER,catboost,0.6062688120662268,0.04405382836534318,0.5263157894736842,0.6906976744186046,0.930018090713044,0.8916666666666667,0.8045112781954887,0.5610633935525196,13,26,0.72,0.8016194331983806,0.19535062113215373
