fe_mode,panel,model,thr_mode,threshold,train_f1,train_precision,train_recall,train_mcc,test_f1_5050,test_precision_5050,test_recall_5050,test_mcc_5050,test_f1_8020_mean,test_f1_8020_std,test_f1_8020_lo,test_f1_8020_hi,n_test
no_fe,KANSER,lightgbm,f1_8020,0.61,0.7716643741403026,0.8048780487804879,0.7410832232496698,0.5421668083847803,0.890625,0.926829268292683,0.8571428571428571,0.6807803767397438,0.7039744361849626,0.04493222887129103,0.6285714285714286,0.7692307692307693,193
no_fe,KANSER,lightgbm,mcc_8020,0.61,0.7716643741403026,0.8048780487804879,0.7410832232496698,0.5421668083847803,0.890625,0.926829268292683,0.8571428571428571,0.6807803767397438,0.7039744361849626,0.04493222887129103,0.6285714285714286,0.7692307692307693,193
no_fe,KANSER,catboost,f1_raw,0.36,0.7967289719626168,0.7141361256544503,0.9009247027741083,0.5304730681639955,0.9314079422382672,0.8958333333333334,0.9699248120300752,0.765613003873143,0.6526427061310782,0.018609055151765332,0.6046511627906976,0.6666666666666666,193
no_fe,KANSER,catboost,f1_8020,0.6,0.7543859649122807,0.8445171849427169,0.6816380449141347,0.5486981255034813,0.889763779527559,0.9338842975206612,0.849624060150376,0.685538486079396,0.7202675211901218,0.05029856028025026,0.6470588235294118,0.7894736842105263,193
no_fe,KANSER,catboost,mcc_8020,0.6,0.7543859649122807,0.8445171849427169,0.6816380449141347,0.5486981255034813,0.889763779527559,0.9338842975206612,0.849624060150376,0.685538486079396,0.7202675211901218,0.05029856028025026,0.6470588235294118,0.7894736842105263,193
no_fe,KANSER,nn,f1_raw,0.26,0.7547380156075808,0.6528447444551592,0.8943196829590488,0.40976471112103213,0.9010238907849829,0.825,0.9924812030075187,0.6464234050935133,0.5141197822141561,0.008453324897745848,0.49122807017543857,0.5172413793103449,193
no_fe,KANSER,nn,f1_8020,0.49,0.7023977433004231,0.7534039334341907,0.6578599735799208,0.42083974797488016,0.8103448275862069,0.9494949494949495,0.706766917293233,0.5773113758569112,0.6875874831230455,0.06820714085676292,0.5714285714285714,0.7878787878787878,193
no_fe,KANSER,nn,mcc_8020,0.49,0.7023977433004231,0.7534039334341907,0.6578599735799208,0.42083974797488016,0.8103448275862069,0.9494949494949495,0.706766917293233,0.5773113758569112,0.6875874831230455,0.06820714085676292,0.5714285714285714,0.7878787878787878,193
no_fe,KANSER,dnn,f1_raw,0.33,0.7632311977715878,0.6599229287090559,0.904887714663144,0.4331889645132835,0.8951048951048951,0.8366013071895425,0.9624060150375939,0.6231764065539717,0.5274723040760777,0.021712618267177682,0.49056603773584906,0.5454545454545454,193
no_fe,KANSER,dnn,f1_8020,0.52,0.6666666666666666,0.7988929889298892,0.571994715984148,0.4256830089828869,0.7913043478260869,0.9381443298969072,0.6842105263157895,0.5408157611110164,0.6504022967025486,0.07720344032014767,0.45694444444444443,0.7647058823529411,193
no_fe,KANSER,dnn,mcc_8020,0.53,0.6434782608695652,0.8011811023622047,0.5376486129458389,0.4079236952986276,0.7787610619469026,0.946236559139785,0.6616541353383458,0.5357088060373175,0.6586006756323448,0.08563071751685593,0.4743589743589744,0.7878787878787878,193
no_fe,KANSER,nn_ft,f1_raw,0.37,0.8347613219094248,0.7776510832383124,0.9009247027741083,0.630417660770323,0.9070631970260223,0.8970588235294118,0.9172932330827067,0.6939452439892683,0.6380689866004672,0.03853013945626744,0.55,0.6818181818181818,193
