col,n,mean,std,mn,mx,q50,miss,nuniq,is_bin,prev,in01,has_neg,skew,lgroup
cscape_coding__rankscore,58113,0.6443862117286506,0.22990327393262847,0.0287660606625019,0.9977151819229512,0.6802937351113783,0.08430108882340892,55227,False,,True,False,-0.37485618234445783,SCORE01
dann__score,46694,0.6321928699870557,0.19583055701403726,0.0359629738102876,0.999622446822196,0.6533030284387923,0.2642327025195783,46687,False,,True,False,-0.33334384792487065,SCORE
dann_coding__dann_coding_score,62788,0.9028962440915731,0.19144147507504122,0.0309033790892585,0.9996302644777134,0.9927152419923364,0.010636118683327292,62779,False,,True,False,-2.4338005293703704,SCORE
dann_coding__dann_rankscore,62788,0.5532775431611135,0.34489696175510737,0.0,0.99999,0.5755899999999999,0.010636118683327292,16992,False,,True,False,-0.14340313314878125,SCORE01
dbscsnv__ada_score,1994,0.6815751781935963,0.4273195224594459,4.3676846652e-06,0.999999057903718,0.9801191712902915,0.968580117548808,1918,False,,True,False,-0.8041440093786988,OTHER
dbscsnv__rf_score,1972,0.6545659229208926,0.3577646029533136,0.0,1.0,0.803,0.9689267762318201,427,False,,True,False,-0.708821792425879,OTHER
ditto__score,63245,0.38630787144004713,0.47968188538920015,0.0,1.0,0.0014184713,0.003435072404393111,16477,False,,True,False,0.4778624934691138,OTHER
esm1b__score,59150,-7.613094860524091,4.354880288591629,-22.876,12.766,-6.615,0.06796085908324535,16362,False,,False,True,-0.41265008426493927,SCORE
esm1b__rankscore,59150,0.5145410622147084,0.3077267640197389,0.0,0.99997,0.51168,0.06796085908324535,15900,False,,True,False,-0.0433344795337027,SCORE01
esp6500__ea_pop_af,31113,0.05057287023009673,0.16000945655108215,0.0,1.0,0.000465116,0.5097458361565006,8703,False,,True,False,4.054127921519442,OTHER
esp6500__aa_pop_af,31113,0.0590744751991772,0.15792769538264145,0.0,1.0,0.00495437,0.5097458361565006,10213,False,,True,False,3.99304161011399,OTHER
eve__score,32786,0.504671050862062,0.3049927019113711,0.0060120069201872,0.9998763871840212,0.5387351147939524,0.4833840190347131,32438,False,,True,False,-0.028490144917896806,SCORE
eve__rank_score,32786,0.5567412288781798,0.32397201742867093,0.0,0.99998,0.608655,0.4833840190347131,26007,False,,True,False,-0.25510134203468804,SCORE01
fathmm_mkl__fathmm_mkl_coding_score,62788,0.6810852740969612,0.37480196195843285,0.0,0.99991,0.9036949999999999,0.010636118683327292,31934,False,,True,False,-0.8383913059057203,SCORE
fathmm_mkl__fathmm_mkl_coding_rankscore,62788,0.5048609095687074,0.29503619586922847,0.00017,0.99998,0.51491,0.010636118683327292,29460,False,,True,False,-0.04266326164836029,SCORE01
fathmm_xf__score,58514,0.5078722621423933,0.3616260383032162,0.0034,0.994069,0.52533,0.07798244646486929,55159,False,,True,False,-0.04135933554975248,SCORE
fathmm_xf_coding__fathmm_xf_coding_score,55334,0.513368535963422,0.360837581945287,0.0034,0.994069,0.540292,0.12809038337298898,52271,False,,True,False,-0.06357093695273767,SCORE
fathmm_xf_coding__fathmm_xf_coding_rankscore,55334,0.5361128729171938,0.3210993860707034,0.0,0.99999,0.556915,0.12809038337298898,35381,False,,True,False,-0.10800251842811094,SCORE01
fitcons__fitcons_coding_score,54613,0.6326056904583158,0.10417242316967984,0.0,0.8396819999999999,0.67177,0.13945133384806896,248,False,,True,False,-1.5454442496076648,CONS_RAW
fitcons__fitcons_coding_rankscore,54613,0.5195570939153681,0.2693386827378371,0.00013,0.99964,0.52595,0.13945133384806896,248,False,,True,False,-0.027122351094968328,SCORE01
fitcons__fitcons_coding_pred,54613,0.01633310750187684,0.17918443561422118,0.0,3.0,0.0,0.13945133384806896,4,False,,False,False,13.125546378942003,CONS_RAW
funseq2__score,62869,2.6131170798737977,0.9267250854646817,0.0,5.0,3.0,0.009359784441328019,172,False,,False,False,-0.20408181600554018,OTHER
genehancer__score,16563,1.2266835718167,0.7819871766770694,0.2,3.44,1.03,0.7390132833304445,264,False,,False,False,0.4356936361705913,OTHER
genocanyon__score,62789,0.8359717749165528,0.33976325158555354,1.0963997418e-06,1.0,0.999994217173216,0.010620361470463104,49176,False,,True,False,-1.8096323596691164,OTHER
genocanyon__rankscore,62789,0.5371837401455669,0.26749962987164827,0.01202,0.98316,0.74766,0.010620361470463104,10605,False,,True,False,-0.3185808992679135,SCORE01
gerp__gerp_nr,62745,5.090444641007251,0.8122412748551743,0.0465,6.17,5.28,0.011313678836487403,634,False,,False,False,-1.8587718486057876,CONS_RAW
gerp__gerp_rs,62745,3.1291341821021597,3.311884315911244,-12.3,6.17,4.42,0.011313678836487403,3437,False,,False,True,-1.9614730302667125,CONS_RAW
gerp__gerp_rs_rank,62745,0.5086587941668659,0.2889768263950585,1e-05,0.99706,0.52608,0.011313678836487403,3364,False,,True,False,-0.11302209625780404,CONS_RAW
gmvp__score,59999,0.5684336681438981,0.32380632668347936,1.37159503255e-05,0.9999983199337956,0.5686957863636628,0.05458298536154925,59991,False,,True,False,-0.10385875297012828,OTHER
gmvp__rank_score,59999,0.5678812975216253,0.3240480767318628,1e-05,0.99999,0.56797,0.05458298536154925,41983,False,,True,False,-0.10275920594181945,SCORE01
gnomad__af,47381,0.03786688141754878,0.13651256781492221,3.5353428222e-06,1.0,0.00106050180534,0.2534074972818808,43988,False,,True,False,4.799600706374664,FREQ
gnomad__af_afr,33272,0.062161939540399606,0.1620301748575953,4.0041643309e-05,1.0,0.005036886101155,0.4757260135827175,25655,False,,True,False,3.8665369886664473,FREQ
gnomad__af_amr,34914,0.05143922912593302,0.16068661575797255,2.82167042889e-05,1.0,0.0012837718658750001,0.44985267005971985,23460,False,,True,False,4.016429514422552,FREQ
gnomad__af_asj,17474,0.10161803297230879,0.2146317568045159,9.64320154291e-05,1.0,0.007140669080955,0.7246584624111687,12324,False,,True,False,2.6369605427099887,FREQ
gnomad__af_eas,17775,0.09992040537330252,0.2245448684814281,5.01152651098e-05,1.0,0.0010023053022,0.719915541339048,11208,False,,True,False,2.6406525758379007,FREQ
gnomad__af_fin,17252,0.1027764859056661,0.21687956179431916,3.98025792071e-05,1.0,0.00644052420863,0.7281565636670185,13807,False,,True,False,2.6083157221171835,FREQ
gnomad__af_nfe,40149,0.04378728453696313,0.14970384131872427,7.7398182691e-06,1.0,0.000154935469377,0.3673636607156926,32690,False,,True,False,4.393980690751784,FREQ
gnomad__af_oth,33006,0.05387065655820922,0.16204034037973145,0.000138350857775,1.0,0.00182686902754,0.47991743220459165,16126,False,,True,False,3.9145760339956603,FREQ
gnomad__af_sas,29633,0.05874613953659321,0.17021082039713592,3.2662660047e-05,1.0,0.000563025766709,0.5330665111954997,16611,False,,True,False,3.684609806043125,FREQ
gnomad3__af,44839,0.041457429329406985,0.13877899072313132,6.97457e-06,1.0,0.00178644,0.2934623323826482,33335,False,,True,False,4.627355969932029,FREQ
gnomad3__af_afr,44838,0.04604353454306392,0.14201351911250207,0.0,1.0,0.000975076,0.29347808959551236,23542,False,,True,False,4.551719910032649,FREQ
gnomad3__af_asj,44838,0.039767061206209015,0.14310907152082286,0.0,1.0,0.0,0.29347808959551236,5020,False,,True,False,4.634755074534729,FREQ
gnomad3__af_eas,44838,0.03962876118640439,0.14961248775143862,0.0,1.0,0.0,0.29347808959551236,5111,False,,True,False,4.627830482984986,FREQ
gnomad3__af_fin,44838,0.03961975942101565,0.1438768129205724,0.0,1.0,0.0,0.29347808959551236,9676,False,,True,False,4.636787891305262,FREQ
gnomad3__af_lat,44838,0.0403549073004126,0.14096486182298856,0.0,1.0,0.000806333,0.29347808959551236,12645,False,,True,False,4.629002571505103,FREQ
gnomad3__af_nfe,44839,0.03933741973112024,0.1426204546758352,0.0,1.0,0.000108433,0.2934623323826482,16612,False,,True,False,4.6631695071506245,FREQ
gnomad3__af_oth,44838,0.04102370533946652,0.13911641002767788,0.0,1.0,0.00139665,0.29347808959551236,5650,False,,True,False,4.633707215428143,FREQ
gnomad3__af_sas,44838,0.039285257953543866,0.14203224266967332,0.0,1.0,0.0,0.29347808959551236,6408,False,,True,False,4.639693628750845,FREQ
gnomad4__af,7026,0.03232459193201463,0.12414757098451205,6.194704519e-07,0.9998965130265908,0.00048108228548625,0.889289822416211,6849,False,,True,False,5.197091846262511,FREQ
gnomad4__an,7026,1596038.4170224878,80374.71035300831,317218.0,1614282.0,1613723.0,0.889289822416211,2736,False,,False,False,-8.395683680006066,FREQ
gnomad4__ac,7026,50834.34557358383,195795.72291608746,1.0,1613503.0,772.0,0.889289822416211,3748,False,,False,False,5.2399320987720035,FREQ
gnomad4__nhomalt,7026,13262.654995730145,74318.84914759429,0.0,806436.0,3.0,0.889289822416211,1254,False,,False,False,7.550698597254149,OTHER
gnomad4__af_afr,7026,0.03931299535096293,0.12739715218628458,0.0,0.9999200319872052,0.0003544647565302,0.889289822416211,4499,False,,True,False,4.938180551167542,FREQ
gnomad4__an_afr,7026,74213.23797324224,3731.910955369315,6432.0,75086.0,74974.0,0.889289822416211,1059,False,,False,False,-8.909053661078904,FREQ
gnomad4__ac_afr,7026,2869.82536293766,9346.41697949278,0.0,75024.0,26.0,0.889289822416211,2335,False,,False,False,5.00836636940084,FREQ
gnomad4__nhomalt_afr,7026,644.1725021349274,3521.119792422225,0.0,37509.0,0.0,0.889289822416211,829,False,,False,False,7.242760188792116,OTHER
gnomad4__af_ami,7026,0.03140055385687277,0.12602577908510698,0.0,1.0,0.0,0.889289822416211,609,False,,True,False,5.25982463830008,FREQ
gnomad4__an_ami,7026,908.1224025049816,34.405988748434446,6.0,912.0,912.0,0.889289822416211,97,False,,False,False,-15.844630620830765,FREQ
gnomad4__ac_ami,7026,28.199829205807003,113.65400415501887,0.0,912.0,0.0,0.889289822416211,401,False,,False,False,5.297501095883543,FREQ
